StudentId,CollageId,Semester,Year,FieldName,SubjectId,Marks
1,120,5,2024,mid1,1,97.67
1,134,4,2024,mid1,2,4.07
1,144,7,2024,mid1,3,52.42
1,131,4,2024,mid1,4,34.33
1,150,5,2024,mid1,5,63.40
1,127,6,2024,mid1,6,92.37
1,108,2,2024,mid1,7,5.55
1,102,7,2024,mid1,8,10.65
1,111,4,2024,mid1,9,85.90
1,125,6,2024,mid1,10,13.78
1,118,6,2024,mid2,1,94.88
1,117,4,2024,mid2,2,28.98
1,134,7,2024,mid2,3,40.58
1,141,1,2024,mid2,4,86.11
1,134,8,2024,mid2,5,47.33
1,137,8,2024,mid2,6,40.18
1,144,6,2024,mid2,7,99.25
1,102,7,2024,mid2,8,71.37
1,129,2,2024,mid2,9,29.23
1,115,6,2024,mid2,10,17.09
1,133,4,2024,mid3,1,80.92
1,128,4,2024,mid3,2,81.25
1,147,7,2024,mid3,3,5.80
1,109,6,2024,mid3,4,77.31
1,150,4,2024,mid3,5,16.37
1,115,7,2024,mid3,6,66.23
1,148,7,2024,mid3,7,41.54
1,102,7,2024,mid3,8,96.94
1,146,4,2024,mid3,9,48.81
1,120,2,2024,mid3,10,77.21
1,124,1,2024,Attendance,1,84.58
1,133,7,2024,Attendance,2,11.31
1,137,2,2024,Attendance,3,13.50
1,139,6,2024,Attendance,4,54.49
1,120,1,2024,Attendance,5,8.76
1,139,2,2024,Attendance,6,22.35
1,131,2,2024,Attendance,7,80.97
1,102,7,2024,Attendance,8,75.31
1,101,7,2024,Attendance,9,13.31
1,137,4,2024,Attendance,10,93.85
1,148,2,2024,Assignment,1,2.81
1,117,2,2024,Assignment,2,78.44
1,135,8,2024,Assignment,3,87.52
1,118,4,2024,Assignment,4,51.73
1,135,5,2024,Assignment,5,56.06
1,146,7,2024,Assignment,6,13.10
1,118,3,2024,Assignment,7,21.29
1,102,7,2024,Assignment,8,68.49
1,139,5,2024,Assignment,9,1.07
1,107,7,2024,Assignment,10,5.08
2,110,6,2024,mid1,1,26.05
2,149,6,2024,mid1,2,11.08
2,127,7,2024,mid1,3,80.24
2,135,6,2024,mid1,4,31.92
2,146,4,2024,mid1,5,59.52
2,122,4,2024,mid1,6,38.99
2,147,2,2024,mid1,7,0.08
2,138,8,2024,mid1,8,63.04
2,120,1,2024,mid1,9,78.95
2,107,5,2024,mid1,10,62.63
2,122,5,2024,mid2,1,17.10
2,137,8,2024,mid2,2,96.79
2,143,1,2024,mid2,3,34.15
2,116,8,2024,mid2,4,98.52
2,146,6,2024,mid2,5,23.80
2,132,5,2024,mid2,6,49.77
2,108,1,2024,mid2,7,26.29
2,140,6,2024,mid2,8,34.63
2,103,4,2024,mid2,9,82.34
2,103,3,2024,mid2,10,7.30
2,147,8,2024,mid3,1,24.18
2,113,7,2024,mid3,2,57.04
2,102,4,2024,mid3,3,18.10
2,130,6,2024,mid3,4,16.34
2,107,6,2024,mid3,5,26.17
2,105,8,2024,mid3,6,39.18
2,140,1,2024,mid3,7,35.56
2,109,3,2024,mid3,8,8.28
2,137,6,2024,mid3,9,52.42
2,133,1,2024,mid3,10,27.55
2,120,2,2024,Attendance,1,87.98
2,113,1,2024,Attendance,2,55.84
2,148,4,2024,Attendance,3,87.92
2,137,7,2024,Attendance,4,5.33
2,143,5,2024,Attendance,5,84.19
2,106,7,2024,Attendance,6,93.42
2,117,7,2024,Attendance,7,93.94
2,122,2,2024,Attendance,8,12.83
2,137,6,2024,Attendance,9,57.62
2,133,6,2024,Attendance,10,12.37
2,141,5,2024,Assignment,1,85.14
2,142,1,2024,Assignment,2,72.30
2,116,3,2024,Assignment,3,13.21
2,132,8,2024,Assignment,4,92.22
2,135,8,2024,Assignment,5,46.22
2,130,1,2024,Assignment,6,4.46
2,150,3,2024,Assignment,7,9.83
2,103,2,2024,Assignment,8,51.20
